from,to,adj_p_value,log2fc,factor,factor_1,factor_2
GLDS-99,16551,1.13e-05,1.420112493,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,98396,0.001471531,0.251968544,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,19378,0.004136957,0.705618096,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,67979,0.012299245,0.181930295,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,17906,0.00385582,0.441079504,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,56398,0.043558823,0.115069469,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,56354,5.84e-06,0.287127743,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,268470,0.012888914,0.114364193,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,237615,9.42e-06,0.340391102,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,100072,0.041195199,0.197231333,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,66531,0.00234807,0.270274128,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,78688,0.010547925,0.231162928,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,20855,0.002014402,0.953503601,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,74356,0.003647016,0.685327218,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,67971,1.48e-05,0.774989291,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,22612,0.012380402,0.267913198,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,50799,4.28e-05,0.956227989,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,15354,7.7e-10,0.690285938,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,70097,0.006612187,0.257910595,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,16398,9.41e-05,1.283162081,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,16956,7.07e-07,0.627513673,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,15481,0.000715231,0.346577585,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,226548,0.012714922,0.215736175,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,54392,0.001286836,2.657120729,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,76612,0.049063668,0.579592715,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,15483,0.003190369,0.427422355,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,66390,0.001006174,0.238879198,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,11740,0.000119419,0.383500299,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,102866,1.9e-05,0.438948727,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,12490,0.001954335,0.396315749,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,140887,0.022791032,0.299183538,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,16784,4.54e-07,0.327191007,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,23970,0.001324548,0.333858731,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,240725,0.002200969,0.356117973,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,74194,0.016076044,0.383635114,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,22370,0.001477353,0.364003754,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,218772,0.001969127,0.265010123,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,78889,2.66e-09,0.846903249,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,18612,0.00129568,0.821519775,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,80860,0.022874654,0.240660352,spaceflight_v_ground_control,spaceflight,ground_control
