from,to,adj_p_value,log2fc,factor,factor_1,factor_2
GLDS-99,64296,0.001411058,-0.306037786,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,74666,0.002425536,-1.077510617,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,12162,0.025248376,-0.54458694,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,67897,0.012722815,-0.214569823,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,107951,0.043807469,-0.151876266,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,80385,0.025458237,-0.166868101,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,66599,0.002210382,-0.239805431,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,100271841,2.35e-08,-0.400825272,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,56873,0.003384579,-0.282229331,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,11565,8.61e-06,-0.263292774,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,70616,0.010536666,-0.200911599,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,71755,0.002638108,-0.256276274,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,233056,0.033988114,-0.205175972,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,70300,0.002312005,-0.248619239,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,11972,0.002996194,-0.184751775,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,270210,0.000161403,-0.249189291,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,110147,2.67e-06,-0.238040837,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,27045,0.0142821,-0.167015699,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,114604,0.049691865,-0.321386167,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,234683,0.016491176,-0.546254753,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,13680,0.032020757,-0.162027753,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,68327,0.016656563,-0.218837624,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,66192,0.038108514,-0.16855759,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,14567,0.001351896,-0.273690893,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,17873,1.67e-06,-0.962882986,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,381356,0.00014526,-0.278570302,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,229589,4.21e-14,-0.366746199,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,20181,0.0021513219999999,-0.203090231,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,16993,0.035990425,-0.13367402,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,114674,0.011682006,-0.265195193,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,69168,0.014063042,-0.212457974,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,56249,0.001702301,-0.203845303,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,12614,0.037699255,-0.833505461,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,77015,0.018867283,-0.402685871,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,140579,0.030334266,-0.148470758,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,52840,0.035836584,-0.26999476,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,20499,0.023879497,-0.303411068,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,67998,0.007704249,-0.163575612,spaceflight_v_ground_control,spaceflight,ground_control
